u,v,key,osmid,highway,oneway,reversed,length,geometry,lanes,name,width,bridge,access,maxspeed
7524556111,7524556173,0,804464495,cycleway,False,False,65.58808721689016,"LINESTRING (2.0302346 41.3185855, 2.0307844 41.3181643)",,,,,,
7524556111,8346947727,0,898160998,cycleway,False,False,7.668649168411063,"LINESTRING (2.0302346 41.3185855, 2.0303013 41.3186329)",,,,,,
7524556111,7524556117,0,804464495,cycleway,False,True,26.228373971427708,"LINESTRING (2.0302346 41.3185855, 2.0302059 41.3186068, 2.0301802 41.318618, 2.0301638 41.3186222, 2.0301354 41.3186249, 2.0301162 41.3186302, 2.0300879 41.3186523, 2.0300649 41.3186703, 2.0300567 41.31868, 2.0300554 41.3186879, 2.0300526 41.3187165, 2.0300491 41.3187241, 2.0300317 41.3187413)",,,,,,
7524556117,8346947733,0,898160993,cycleway,False,False,7.700746137699885,"LINESTRING (2.0300317 41.3187413, 2.0300948 41.3187918)",,,,,,
7524556117,7524556111,0,804464495,cycleway,False,False,26.228373971427708,"LINESTRING (2.0300317 41.3187413, 2.0300491 41.3187241, 2.0300526 41.3187165, 2.0300554 41.3186879, 2.0300567 41.31868, 2.0300649 41.3186703, 2.0300879 41.3186523, 2.0301162 41.3186302, 2.0301354 41.3186249, 2.0301638 41.3186222, 2.0301802 41.318618, 2.0302059 41.3186068, 2.0302346 41.3185855)",,,,,,
7524556117,8346945913,0,804464495,cycleway,False,True,188.32426924813433,"LINESTRING (2.0300317 41.3187413, 2.0293681 41.3192458, 2.0284491 41.3199478)",,,,,,
7524556141,7524554154,0,"[804464496, 1113306546, 804464494]",cycleway,False,False,550.6100822715267,"LINESTRING (2.029403 41.3169994, 2.0293165 41.3169341, 2.0292643 41.3168946, 2.0292966 41.3167484, 2.0287605 41.3162795, 2.0284834 41.3160136, 2.0275475 41.3150207, 2.0275349 41.3150106, 2.0275203 41.315008, 2.0274814 41.3149952, 2.0274471 41.3149803, 2.0274206 41.3149602, 2.0273943 41.3149341, 2.0273809 41.3148983, 2.0273727 41.3148641, 2.0273747 41.3148431, 2.0273648 41.3148287, 2.0270326 41.3144792, 2.0265298 41.3139539, 2.0264972 41.3139407, 2.0264643 41.3139371, 2.0264099 41.3139315, 2.026341 41.3139257, 2.0263129 41.313932, 2.0255292 41.3143702, 2.0252674 41.3145216)",,Passeig de la Marina,,,,
7524556141,11382810164,0,"[1222056735, 1222056734, 804464495]",cycleway,False,False,447.426673752156,"LINESTRING (2.029403 41.3169994, 2.0286107 41.3176449, 2.0285915 41.3176597, 2.0285766 41.3176705, 2.0285628 41.3176772, 2.0285436 41.3176852, 2.0285078 41.3176988, 2.0284771 41.317714, 2.0270122 41.3189338, 2.0269961 41.3189496, 2.0269863 41.3189711, 2.0269788 41.3189913, 2.0269713 41.3190122, 2.0269639 41.3190301, 2.026957 41.3190437, 2.0269425 41.3190552, 2.0269264 41.3190688, 2.0269062 41.3190835, 2.0268799 41.3191009, 2.0268377 41.3191225, 2.026813 41.3191396, 2.026508 41.3194169, 2.0261533 41.3197387, 2.0261074 41.3197826, 2.0260755 41.3198107, 2.0260643 41.3198267, 2.0260871 41.3199146, 2.0261104 41.3199603, 2.0261578 41.3199944, 2.0261967 41.3200228)",,,,,,
7524556141,7524556173,0,804464495,cycleway,False,True,186.82281349158774,"LINESTRING (2.029403 41.3169994, 2.0294402 41.316973, 2.0294708 41.316958, 2.0294991 41.3169563, 2.029515 41.3169581, 2.0295273 41.3169626, 2.029565 41.3169795, 2.0306893 41.3179118, 2.0307037 41.3179232, 2.0307439 41.3179884, 2.0307799 41.3180665, 2.0308103 41.3181182, 2.0308116 41.3181315, 2.0308066 41.3181457, 2.0307844 41.3181643)",,,,,,
7524556149,8346947724,0,898160995,cycleway,False,True,8.027931839639697,"LINESTRING (2.0281358 41.3201887, 2.0282045 41.3202392)",,,,,,
