u,v,key,osmid,highway,maxspeed,oneway,ref,reversed,length,lanes,name,width,junction,access,service,bridge,geometry
1130841537,10093096215,0,97675052,tertiary,30,True,BV-2003,False,21.042053112982327,1,Avinguda de Francesc Macià,,,,,,"LINESTRING (2.0179758 41.3204322, 2.0181703 41.3203119)"
1130841538,1130841539,0,97675052,tertiary,30,True,BV-2003,False,80.1430799909556,1,Avinguda de Francesc Macià,,,,,,"LINESTRING (2.0185687 41.3201186, 2.0193925 41.3197489)"
1130841539,8044591418,0,97675052,tertiary,30,True,BV-2003,False,50.11991232589877,1,Avinguda de Francesc Macià,,,,,,"LINESTRING (2.0193925 41.3197489, 2.0199025 41.3195113)"
1130841540,9493760768,0,1029856084,tertiary,30,True,BV-2003,False,12.31317661546232,2,Avinguda de Francesc Macià,,,,,,"LINESTRING (2.0201003 41.3193985, 2.0202153 41.3193292)"
1130841541,9493823372,0,1029856084,tertiary,30,True,BV-2003,False,29.36130149761514,2,Avinguda de Francesc Macià,,,,,,"LINESTRING (2.0205904 41.3190849, 2.0208351 41.3188953)"
1130841542,9493823371,0,1029856084,tertiary,30,True,BV-2003,False,17.481597024725403,2,Avinguda de Francesc Macià,,,,,,"LINESTRING (2.0209698 41.3187909, 2.0210919 41.3186632)"
1130841543,9493823351,0,1029856084,tertiary,30,True,BV-2003,False,9.50463018476966,2,Avinguda de Francesc Macià,,,,,,"LINESTRING (2.0214397 41.3182988, 2.0214962 41.3182246)"
1130841544,6640642461,0,539700920,tertiary,30,True,BV-2003,False,10.667821064271026,2,Avinguda de Francesc Macià,,,,,,"LINESTRING (2.0218405 41.3177594, 2.0218851 41.3176695)"
1130841545,9493823345,0,539700920,tertiary,30,True,BV-2003,False,30.76915244033876,2,Avinguda de Francesc Macià,,,,,,"LINESTRING (2.0219307 41.3175494, 2.0220137 41.3172798)"
1130841547,9493823343,0,97675053,tertiary,30,True,,False,16.98191996440366,,Avinguda de Francesc Macià,,,,,,"LINESTRING (2.0221457 41.3171466, 2.0221089 41.3172968)"
