u,v,key,osmid,highway,junction,maxspeed,ref,oneway,reversed,length,name,lanes,width,access,bridge,tunnel,geometry
2216977249,2216977260,0,273924482,cycleway,,,,False,True,34.408037173984475,,,,,,,"LINESTRING (2.0590384 41.2911799, 2.0586993 41.2913555)"
2216977250,2216977248,0,210931266,cycleway,,,,False,False,2.6313412545069457,,,,,,,"LINESTRING (2.0556598 41.2911905, 2.0556871 41.2911787)"
2216977250,2216977252,0,210931266,cycleway,,,,False,True,2.440116851100254,,,,,,,"LINESTRING (2.0556598 41.2911905, 2.0556372 41.2912044)"
2216977251,2216977256,0,273924499,cycleway,,,,False,False,9.018062618704736,,,,,yes,,"LINESTRING (2.0578901 41.2912071, 2.0579643 41.291266)"
2216977251,2216977245,0,934269774,cycleway,,,,False,True,12.325970626184878,,,,,,,"LINESTRING (2.0578901 41.2912071, 2.057808 41.291115)"
2216977252,2216977250,0,210931266,cycleway,,,,False,False,2.440116851100254,,,,,,,"LINESTRING (2.0556372 41.2912044, 2.0556598 41.2911905)"
2216977252,2216977253,0,210931266,cycleway,,,,False,True,1.5807966288698494,,,,,,,"LINESTRING (2.0556372 41.2912044, 2.0556243 41.2912148)"
2216977253,2216977252,0,210931266,cycleway,,,,False,False,1.5807966288698494,,,,,,,"LINESTRING (2.0556243 41.2912148, 2.0556372 41.2912044)"
2216977253,2216977254,0,210931266,cycleway,,,,False,True,2.4417491022602067,,,,,,,"LINESTRING (2.0556243 41.2912148, 2.0556063 41.2912321)"
2216977254,2216977253,0,210931266,cycleway,,,,False,False,2.4417491022602067,,,,,,,"LINESTRING (2.0556063 41.2912321, 2.0556243 41.2912148)"
2216977254,2216977255,0,210931266,cycleway,,,,False,True,2.2933443216350655,,,,,,,"LINESTRING (2.0556063 41.2912321, 2.0555929 41.2912501)"
2216977255,2216977254,0,210931266,cycleway,,,,False,False,2.2933443216350655,,,,,,,"LINESTRING (2.0555929 41.2912501, 2.0556063 41.2912321)"
2216977255,2216977257,0,210931266,cycleway,,,,False,True,2.5011941416821055,,,,,,,"LINESTRING (2.0555929 41.2912501, 2.0555841 41.2912716)"
2216977256,2216977259,0,273924499,cycleway,,,,False,False,9.72708100979864,,,,,yes,,"LINESTRING (2.0579643 41.291266, 2.0580511 41.2913243)"
2216977256,2216977251,0,273924499,cycleway,,,,False,True,9.018062618704736,,,,,yes,,"LINESTRING (2.0579643 41.291266, 2.0578901 41.2912071)"
2216977257,2216977255,0,210931266,cycleway,,,,False,False,2.5011941416821055,,,,,,,"LINESTRING (2.0555841 41.2912716, 2.0555929 41.2912501)"
